f,u,n,d,a,$,COPY	f,u,n,d,a
o,l,e,y,e,$,COPY	o,l,e,y,e
o,l,e,y,e,$,V,SG,1,PRS	n,g,i,y,a,o,l,e,y,e
a,l,e,y,n,$,COPY	a,l,e,y,n
a,l,e,y,n,$,V,SG,1,FUT+IMMED	n,g,i,z,o,a,l,e,y,n
f,e,d,a,$,COPY	f,e,d,a
f,e,d,a,$,V,SG,1,PST+RMT	n,g,a,f,e,d,a
b,e,n,e,$,COPY	b,e,n,e
b,e,n,e,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,e,n,e
q,q,a,a,$,COPY	q,q,a,a
q,q,a,a,$,V,SG,1,FUT	n,g,i,y,o,q,q,a,a
q,e,d,q,$,COPY	q,e,d,q
q,e,d,q,$,V,SG,1,PRS	n,g,i,q,e,d,q
p,d,d,a,$,COPY	p,d,d,a
p,d,d,a,$,V,SG,1,PST+RCT	n,g,i,p,d,d,e
p,g,i,l,a,$,COPY	p,g,i,l,a
p,g,i,l,a,$,V,SG,1,PST+RMT	n,g,a,p,g,i,l,a
q,h,q,c,a,$,COPY	q,h,q,c,a
q,h,q,c,a,$,V,SG,1,PST+RCT	n,g,i,q,h,q,c,e
l,l,i,a,a,$,COPY	l,l,i,a,a
l,l,i,a,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,l,i,a,a
p,o,i,l,t,$,COPY	p,o,i,l,t
p,o,i,l,t,$,V,SG,1,FUT	n,g,i,y,o,p,o,i,l,t
z,w,i,a,a,$,COPY	z,w,i,a,a
z,w,i,a,a,$,V,SG,1,PRS	n,g,i,y,a,z,w,i,a,a
l,a,a,j,$,COPY	l,a,a,j
l,a,a,j,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,a,j
o,a,l,d,$,COPY	o,a,l,d
o,a,l,d,$,V,SG,1,FUT	n,g,i,y,o,o,a,l,d
l,a,p,a,$,COPY	l,a,p,a
l,a,p,a,$,V,SG,1,PST+RMT	n,g,a,l,a,p,a
l,a,d,b,$,COPY	l,a,d,b
l,a,d,b,$,V,SG,1,PRS	n,g,i,y,a,l,a,d,b
l,n,l,a,$,COPY	l,n,l,a
l,n,l,a,$,V,SG,1,PST+RCT	n,g,i,l,n,l,e
g,c,q,i,w,a,$,COPY	g,c,q,i,w,a
g,c,q,i,w,a,$,V,SG,1,PST+RCT	n,g,i,g,c,q,i,w,e
g,i,j,o,m,a,$,COPY	g,i,j,o,m,a
g,i,j,o,m,a,$,V,SG,1,PRS	n,g,i,y,a,g,i,j,o,m,a
g,i,j,s,n,a,$,COPY	g,i,j,s,n,a
g,i,j,s,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,g,i,j,s,n,a
g,i,j,i,m,a,$,V,SG,1,PST+RMT	n,g,a,g,i,j,i,m,a
g,i,j,i,m,a,$,V,SG,1,FUT	n,g,i,y,o,g,i,j,i,m,a
b,h,a,p,q,$,COPY	b,h,a,p,q
b,h,a,p,q,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,h,a,p,q
b,s,a,l,a,$,COPY	b,s,a,l,a
b,s,a,l,a,$,V,SG,1,PST+RCT	n,g,i,b,s,a,l,e
b,h,a,v,a,$,COPY	b,h,a,v,a
b,h,a,v,a,$,V,SG,1,PRS	n,g,i,b,h,a,v,a
b,h,w,l,a,$,COPY	b,h,w,l,a
b,h,w,l,a,$,V,SG,1,PST+RMT	n,g,a,b,h,w,l,a
e,h,w,l,b,$,COPY	e,h,w,l,b
e,h,w,l,b,$,V,SG,1,FUT	n,g,i,y,o,e,h,w,l,b
m,l,c,$,COPY	m,l,c
m,l,c,$,V,SG,1,FUT	n,g,i,y,o,k,u,m,l,c
d,l,i,$,COPY	d,l,i
d,l,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,d,l,i
c,g,a,$,COPY	c,g,a
c,g,a,$,V,SG,1,PRS	n,g,i,c,g,a
q,l,o,$,COPY	q,l,o
q,l,o,$,V,SG,1,PST+RMT	n,g,a,q,l,o
p,h,e,v,u,y,u,q,a,$,COPY	p,h,e,v,u,y,u,q,a
p,h,e,v,u,y,u,q,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,e,v,u,y,u,q,a
p,k,e,f,u,q,u,l,a,$,COPY	p,k,e,f,u,q,u,l,a
p,k,e,f,u,q,u,l,a,$,V,SG,1,PRS	n,g,i,y,a,p,k,e,f,u,q,u,l,a
p,h,u,f,z,j,b,l,a,$,COPY	p,h,u,f,z,j,b,l,a
p,h,u,f,z,j,b,l,a,$,V,SG,1,PST+RCT	n,g,i,p,h,u,f,z,j,b,l,e
p,h,b,u,u,m,u,a,a,$,COPY	p,h,b,u,u,m,u,a,a
p,h,b,u,u,m,u,a,a,$,V,SG,1,PST+RMT	n,g,a,p,h,b,u,u,m,u,a,a
p,y,e,u,u,w,e,l,a,$,COPY	p,y,e,u,u,w,e,l,a
p,y,e,u,u,w,e,l,a,$,V,SG,1,FUT	n,g,i,y,o,p,y,e,u,u,w,e,l,a
p,o,u,w,j,$,COPY	p,o,u,w,j
p,o,u,w,j,$,V,SG,1,PST+RMT	n,g,a,p,o,u,w,j
p,v,u,o,n,$,COPY	p,v,u,o,n
p,v,u,o,n,$,V,SG,1,PRS	n,g,i,p,v,u,o,n
p,n,n,f,v,$,COPY	p,n,n,f,v
p,n,n,f,v,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,n,n,f,v
p,h,u,z,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,u,z,a
p,s,u,z,a,$,COPY	p,s,u,z,a
p,s,u,z,a,$,V,SG,1,PST+RCT	n,g,i,p,s,u,z,e
g,h,i,s,u,a,$,COPY	g,h,i,s,u,a
g,h,i,s,u,a,$,V,SG,1,PST+RCT	n,g,i,g,h,i,s,u,e
t,c,i,j,g,a,$,COPY	t,c,i,j,g,a
t,c,i,j,g,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,c,i,j,g,a
t,h,i,n,m,a,$,COPY	t,h,i,n,m,a
t,h,i,n,m,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,i,n,m,a
t,m,i,z,k,a,$,COPY	t,m,i,z,k,a
t,m,i,z,k,a,$,V,SG,1,PST+RMT	n,g,a,t,m,i,z,k,a
t,w,v,n,l,a,$,COPY	t,w,v,n,l,a
t,w,v,n,l,a,$,V,SG,1,PRS	n,g,i,t,w,v,n,l,a
l,a,p,j,n,k,k,l,w,a,$,COPY	l,a,p,j,n,k,k,l,w,a
l,a,p,j,n,k,k,l,w,a,$,V,SG,1,PST+RCT	n,g,i,l,a,p,j,n,k,k,l,w,e
l,f,h,w,e,k,c,h,g,a,$,COPY	l,f,h,w,e,k,c,h,g,a
l,f,h,w,e,k,c,h,g,a,$,V,SG,1,PRS	n,g,i,l,f,h,w,e,k,c,h,g,a
l,a,h,l,e,k,e,l,w,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,h,l,e,k,e,l,w,a
l,v,f,b,e,n,h,l,w,a,$,COPY	l,v,f,b,e,n,h,l,w,a
l,v,f,b,e,n,h,l,w,a,$,V,SG,1,FUT	n,g,i,y,o,l,v,f,b,e,n,h,l,w,a
l,q,h,l,c,k,v,z,c,a,$,COPY	l,q,h,l,c,k,v,z,c,a
l,q,h,l,c,k,v,z,c,a,$,V,SG,1,PST+RMT	n,g,a,l,q,h,l,c,k,v,z,c,a
l,f,d,$,COPY	l,f,d
l,f,d,$,V,SG,1,PRS	n,g,i,l,f,d
v,d,a,$,COPY	v,d,a
v,d,a,$,V,SG,1,PST+RMT	n,g,a,v,d,a
l,w,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,l,w,a
o,z,a,$,COPY	o,z,a
o,z,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,o,z,a
s,u,k,u,f,a,$,COPY	s,u,k,u,f,a
s,u,k,u,f,a,$,V,SG,1,PRS	n,g,i,s,u,k,u,f,a
s,u,k,u,m,a,$,V,SG,1,PST+RMT	n,g,a,s,u,k,u,m,a
k,u,k,u,c,a,$,COPY	k,u,k,u,c,a
k,u,k,u,c,a,$,V,SG,1,PST+RCT	n,g,i,k,u,k,u,c,e
s,u,k,f,m,a,$,COPY	s,u,k,f,m,a
s,u,k,f,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,u,k,f,m,a
s,c,j,u,b,a,$,COPY	s,c,j,u,b,a
s,c,j,u,b,a,$,V,SG,1,FUT	n,g,i,y,o,s,c,j,u,b,a
p,h,e,n,d,n,l,a,$,COPY	p,h,e,n,d,n,l,a
p,h,e,n,d,n,l,a,$,V,SG,1,PRS	n,g,i,p,h,e,n,d,n,l,a
p,h,e,z,d,w,l,a,$,COPY	p,h,e,z,d,w,l,a
p,h,e,z,d,w,l,a,$,V,SG,1,PST+RCT	n,g,i,p,h,e,z,d,w,l,e
p,j,d,h,f,w,l,a,$,COPY	p,j,d,h,f,w,l,a
p,j,d,h,f,w,l,a,$,V,SG,1,FUT	n,g,i,y,o,p,j,d,h,f,w,l,a
p,h,p,n,u,h,s,a,$,COPY	p,h,p,n,u,h,s,a
p,h,p,n,u,h,s,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,p,n,u,h,s,a
p,h,v,v,t,u,l,a,$,COPY	p,h,v,v,t,u,l,a
p,h,v,v,t,u,l,a,$,V,SG,1,PST+RMT	n,g,a,p,h,v,v,t,u,l,a
d,o,s,y,a,$,COPY	d,o,s,y,a
d,o,s,y,a,$,V,SG,1,FUT	n,g,i,y,o,d,o,s,y,a
c,o,z,d,a,$,COPY	c,o,z,d,a
c,o,z,d,a,$,V,SG,1,PST+RCT	n,g,i,c,o,z,d,e
q,o,p,u,e,$,COPY	q,o,p,u,e
q,o,p,u,e,$,V,SG,1,PRS	n,g,i,y,a,q,o,p,u,e
q,o,e,n,l,$,COPY	q,o,e,n,l
q,o,e,n,l,$,V,SG,1,FUT+IMMED	n,g,i,z,o,q,o,e,n,l
b,y,n,d,q,$,COPY	b,y,n,d,q
b,y,n,d,q,$,V,SG,1,PST+RMT	n,g,a,b,y,n,d,q
b,o,n,h,q,a,p,a,$,COPY	b,o,n,h,q,a,p,a
b,o,n,h,q,a,p,a,$,V,SG,1,PST+RMT	n,g,a,b,o,n,h,q,a,p,a
b,o,y,a,k,l,l,a,$,COPY	b,o,y,a,k,l,l,a
b,o,y,a,k,l,l,a,$,V,SG,1,FUT	n,g,i,y,o,b,o,y,a,k,l,l,a
b,o,e,w,k,i,g,a,$,COPY	b,o,e,w,k,i,g,a
b,o,e,w,k,i,g,a,$,V,SG,1,PRS	n,g,i,b,o,e,w,k,i,g,a
b,o,n,t,k,d,u,a,$,COPY	b,o,n,t,k,d,u,a
b,o,n,t,k,d,u,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,o,n,t,k,d,u,a
b,q,v,a,j,a,l,a,$,COPY	b,q,v,a,j,a,l,a
b,q,v,a,j,a,l,a,$,V,SG,1,PST+RCT	n,g,i,b,q,v,a,j,a,l,e
c,n,a,s,q,s,a,$,COPY	c,n,a,s,q,s,a
c,n,a,s,q,s,a,$,V,SG,1,PST+RCT	n,g,i,c,n,a,s,q,s,e
c,h,a,p,i,s,a,$,COPY	c,h,a,p,i,s,a
c,h,a,p,i,s,a,$,V,SG,1,PRS	n,g,i,c,h,a,p,i,s,a
c,h,a,h,i,s,a,$,COPY	c,h,a,h,i,s,a
c,h,a,h,i,s,a,$,V,SG,1,PST+RMT	n,g,a,c,h,a,h,i,s,a
c,v,f,b,i,y,a,$,COPY	c,v,f,b,i,y,a
c,v,f,b,i,y,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,v,f,b,i,y,a
c,p,a,s,i,t,a,$,COPY	c,p,a,s,i,t,a
c,p,a,s,i,t,a,$,V,SG,1,FUT	n,g,i,y,o,c,p,a,s,i,t,a
h,m,a,n,u,a,h,a,$,COPY	h,m,a,n,u,a,h,a
h,m,a,n,u,a,h,a,$,V,SG,1,PRS	n,g,i,h,m,a,n,u,a,h,a
h,l,m,n,w,a,n,a,$,COPY	h,l,m,n,w,a,n,a
h,l,m,n,w,a,n,a,$,V,SG,1,PST+RCT	n,g,i,h,l,m,n,w,a,n,e
h,l,p,d,b,a,n,a,$,COPY	h,l,p,d,b,a,n,a
h,l,p,d,b,a,n,a,$,V,SG,1,FUT	n,g,i,y,o,h,l,p,d,b,a,n,a
h,l,k,n,g,h,b,a,$,COPY	h,l,k,n,g,h,b,a
h,l,k,n,g,h,b,a,$,V,SG,1,PST+RMT	n,g,a,h,l,k,n,g,h,b,a
h,k,l,f,g,m,n,a,$,COPY	h,k,l,f,g,m,n,a
h,k,l,f,g,m,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,h,k,l,f,g,m,n,a
p,m,u,m,q,$,COPY	p,m,u,m,q
p,m,u,m,q,$,V,SG,1,FUT	n,g,i,y,o,p,m,u,m,q
k,h,u,m,a,$,COPY	k,h,u,m,a
k,h,u,m,a,$,V,SG,1,PRS	n,g,i,k,h,u,m,a
p,h,j,m,a,$,COPY	p,h,j,m,a
p,h,j,m,a,$,V,SG,1,PST+RMT	n,g,a,p,h,j,m,a
n,g,w,m,a,$,COPY	n,g,w,m,a
n,g,w,m,a,$,V,SG,1,PST+RCT	n,g,i,n,g,w,m,e
h,h,u,m,z,$,COPY	h,h,u,m,z
h,h,u,m,z,$,V,SG,1,FUT+IMMED	n,g,i,z,o,h,h,u,m,z
z,w,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,z,w,a
z,v,g,$,COPY	z,v,g
z,v,g,$,V,SG,1,PST+RMT	n,g,a,z,v,g
w,w,l,$,COPY	w,w,l
w,w,l,$,V,SG,1,PRS	n,g,i,y,e,w,w,l
z,b,a,$,COPY	z,b,a
z,b,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,z,b,a
l,f,l,n, ,p,c,a,n,s,i,$,COPY	l,f,l,n, ,p,c,a,n,s,i
l,f,l,n, ,p,c,a,n,s,i,$,V,SG,1,FUT	n,g,i,y,o,l,f,l,n, ,p,c,a,n,s,i
u,a,l,s, ,p,g,a,i,s,i,$,COPY	u,a,l,s, ,p,g,a,i,s,i
u,a,l,s, ,p,g,a,i,s,i,$,V,SG,1,PST+RMT	n,g,a,u,a,l,s, ,p,g,a,i,s,i
l,a,l,a, ,p,v,f,n,g,i,$,COPY	l,a,l,a, ,p,v,f,n,g,i
l,a,l,a, ,p,v,f,n,g,i,$,V,SG,1,PST+RCT	n,g,i,l,e,l,e, ,p,v,f,n,g,i
a,a,l,n, ,p,f,c,n,s,i,$,COPY	a,a,l,n, ,p,f,c,n,s,i
a,a,l,n, ,p,f,c,n,s,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,a,a,l,n, ,p,f,c,n,s,i
l,a,l,a, ,p,o,a,n,s,i,$,COPY	l,a,l,a, ,p,o,a,n,s,i
l,a,l,a, ,p,o,a,n,s,i,$,V,SG,1,PRS	n,g,i,l,a,l,a, ,p,o,a,n,s,i
t,u,l,a,$,COPY	t,u,l,a
t,u,l,a,$,V,SG,1,PST+RCT	n,g,i,t,u,l,e
w,b,l,a,$,COPY	w,b,l,a
w,b,l,a,$,V,SG,1,PRS	n,g,i,w,b,l,a
l,u,l,i,$,COPY	l,u,l,i
l,u,l,i,$,V,SG,1,PST+RMT	n,g,a,l,u,l,i
k,d,s,a,$,COPY	k,d,s,a
k,d,s,a,$,V,SG,1,FUT	n,g,i,y,o,k,d,s,a
b,v,j,a,$,COPY	b,v,j,a
b,v,j,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,v,j,a
v,t,n,e,$,COPY	v,t,n,e
v,t,n,e,$,V,SG,1,FUT	n,g,i,y,o,v,t,n,e
v,q,m,z,$,COPY	v,q,m,z
v,q,m,z,$,V,SG,1,PST+RMT	n,g,a,v,q,m,z
k,h,m,q,$,COPY	k,h,m,q
k,h,m,q,$,V,SG,1,PRS	n,g,i,k,h,m,q
d,u,m,a,$,COPY	d,u,m,a
d,u,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,d,u,m,a
t,m,m,a,$,COPY	t,m,m,a
t,m,m,a,$,V,SG,1,PST+RCT	n,g,i,t,m,m,e
f,u,k,s,a,$,COPY	f,u,k,s,a
f,u,k,s,a,$,V,SG,1,FUT	n,g,i,y,o,f,u,k,s,a
u,e,n,f,a,$,COPY	u,e,n,f,a
u,e,n,f,a,$,V,SG,1,PRS	n,g,i,u,e,n,f,a
f,u,t,d,a,$,COPY	f,u,t,d,a
f,u,t,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,u,t,d,a
f,t,f,d,a,$,COPY	f,t,f,d,a
f,t,f,d,a,$,V,SG,1,PST+RCT	n,g,i,f,t,f,d,e
f,e,h,d,u,$,COPY	f,e,h,d,u
f,e,h,d,u,$,V,SG,1,PST+RMT	n,g,a,f,e,h,d,u
p,h,y,i,l,a,$,COPY	p,h,y,i,l,a
p,h,y,i,l,a,$,V,SG,1,PST+RMT	n,g,a,p,h,y,i,l,a
p,h,i,q,b,a,$,COPY	p,h,i,q,b,a
p,h,i,q,b,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,i,q,b,a
p,g,i,n,q,a,$,COPY	p,g,i,n,q,a
p,g,i,n,q,a,$,V,SG,1,FUT	n,g,i,y,o,p,g,i,n,q,a
p,h,i,g,d,a,$,COPY	p,h,i,g,d,a
p,h,i,g,d,a,$,V,SG,1,PRS	n,g,i,p,h,i,g,d,a
p,o,i,v,d,a,$,COPY	p,o,i,v,d,a
p,o,i,v,d,a,$,V,SG,1,PST+RCT	n,g,i,p,o,i,v,d,e
v,a,p,a,$,COPY	v,a,p,a
v,a,p,a,$,V,SG,1,PST+RCT	n,g,i,v,a,p,e
d,v,l,q,$,COPY	d,v,l,q
d,v,l,q,$,V,SG,1,PRS	n,g,i,d,v,l,q
v,a,f,h,$,COPY	v,a,f,h
v,a,f,h,$,V,SG,1,PST+RMT	n,g,a,v,a,f,h
v,b,h,o,$,COPY	v,b,h,o
v,b,h,o,$,V,SG,1,FUT	n,g,i,y,o,v,b,h,o
s,a,l,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,a,l,i
k,h,u,m,h,o,l,a,$,COPY	k,h,u,m,h,o,l,a
k,h,u,m,h,o,l,a,$,V,SG,1,PST+RCT	n,g,i,k,h,u,m,h,o,l,e
k,n,u,g,p,e,l,a,$,COPY	k,n,u,g,p,e,l,a
k,n,u,g,p,e,l,a,$,V,SG,1,PST+RMT	n,g,a,k,n,u,g,p,e,l,a
k,f,u,j,b,k,l,a,$,COPY	k,f,u,j,b,k,l,a
k,f,u,j,b,k,l,a,$,V,SG,1,PRS	n,g,i,y,a,k,f,u,j,b,k,l,a
k,v,f,v,b,u,l,a,$,COPY	k,v,f,v,b,u,l,a
k,v,f,v,b,u,l,a,$,V,SG,1,FUT	n,g,i,y,o,k,v,f,v,b,u,l,a
k,q,z,j,c,u,i,a,$,COPY	k,q,z,j,c,u,i,a
k,q,z,j,c,u,i,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,q,z,j,c,u,i,a
t,h,e,n,o,a,$,COPY	t,h,e,n,o,a
t,h,e,n,o,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,e,n,o,a
e,h,e,c,k,a,$,COPY	e,h,e,c,k,a
e,h,e,c,k,a,$,V,SG,1,PST+RCT	n,g,i,e,h,e,c,k,e
t,u,m,g,g,a,$,COPY	t,u,m,g,g,a
t,u,m,g,g,a,$,V,SG,1,PST+RMT	n,g,a,t,u,m,g,g,a
t,h,e,n,k,a,$,COPY	t,h,e,n,k,a
t,h,e,n,k,a,$,V,SG,1,PRS	n,g,i,t,h,e,n,k,a
t,p,p,n,g,a,$,COPY	t,p,p,n,g,a
t,p,p,n,g,a,$,V,SG,1,FUT	n,g,i,y,o,t,p,p,n,g,a
a,e,l,b,$,COPY	a,e,l,b
a,e,l,b,$,V,SG,1,PRS	n,g,i,a,e,l,b
q,f,m,o,$,COPY	q,f,m,o
q,f,m,o,$,V,SG,1,PST+RMT	n,g,a,q,f,m,o
m,e,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,m,e,m,a
t,e,p,a,$,COPY	t,e,p,a
t,e,p,a,$,V,SG,1,PST+RCT	n,g,i,t,e,p,e
m,q,h,i,$,COPY	m,q,h,i
m,q,h,i,$,V,SG,1,FUT	n,g,i,y,o,m,q,h,i
n,u,o,b,q,$,COPY	n,u,o,b,q
n,u,o,b,q,$,V,SG,1,PRS	n,g,i,y,a,n,u,o,b,q
n,d,f,v,v,$,COPY	n,d,f,v,v
n,d,f,v,v,$,V,SG,1,PST+RMT	n,g,a,n,d,f,v,v
n,s,o,k,u,$,COPY	n,s,o,k,u
n,s,o,k,u,$,V,SG,1,FUT	n,g,i,y,o,n,s,o,k,u
d,p,y,b,a,$,COPY	d,p,y,b,a
d,p,y,b,a,$,V,SG,1,PST+RCT	n,g,i,d,p,y,b,e
n,q,s,b,o,$,COPY	n,q,s,b,o
n,q,s,b,o,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,q,s,b,o
p,g,z,$,COPY	p,g,z
p,g,z,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,g,z
t,h,h,$,COPY	t,h,h
t,h,h,$,V,SG,1,PRS	n,g,i,y,a,t,h,h
s,p,v,$,COPY	s,p,v
s,p,v,$,V,SG,1,FUT	n,g,i,y,o,s,p,v
p,p,o,$,COPY	p,p,o
p,p,o,$,V,SG,1,PST+RMT	n,g,a,p,p,o
t,h,a,h,h,a,$,COPY	t,h,a,h,h,a
t,h,a,h,h,a,$,V,SG,1,PRS	n,g,i,t,h,a,h,h,a
z,h,a,a,h,a,$,COPY	z,h,a,a,h,a
z,h,a,a,h,a,$,V,SG,1,PST+RCT	n,g,i,z,h,a,a,h,e
t,h,a,t,l,a,$,COPY	t,h,a,t,l,a
t,h,a,t,l,a,$,V,SG,1,PST+RMT	n,g,a,t,h,a,t,l,a
t,s,p,t,q,a,$,COPY	t,s,p,t,q,a
t,s,p,t,q,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,s,p,t,q,a
t,h,a,h,w,a,$,COPY	t,h,a,h,w,a
t,h,a,h,w,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,a,h,w,a
z,i,p,d,a,$,COPY	z,i,p,d,a
z,i,p,d,a,$,V,SG,1,PST+RCT	n,g,i,z,i,p,d,e
j,i,h,d,a,$,COPY	j,i,h,d,a
j,i,h,d,a,$,V,SG,1,PRS	n,g,i,y,a,j,i,h,d,a
t,i,m,m,a,$,COPY	t,i,m,m,a
t,i,m,m,a,$,V,SG,1,PST+RMT	n,g,a,t,i,m,m,a
o,o,l,d,c,$,COPY	o,o,l,d,c
o,o,l,d,c,$,V,SG,1,FUT+IMMED	n,g,i,z,o,o,o,l,d,c
l,i,j,d,a,$,COPY	l,i,j,d,a
l,i,j,d,a,$,V,SG,1,FUT	n,g,i,y,o,l,i,j,d,a
d,l,a,l,s,$,COPY	d,l,a,l,s
d,l,a,l,s,$,V,SG,1,PST+RMT	n,g,a,d,l,a,l,s
d,k,a,k,a,$,COPY	d,k,a,k,a
d,k,a,k,a,$,V,SG,1,PST+RCT	n,g,i,d,k,a,k,e
l,l,b,l,u,$,COPY	l,l,b,l,u
l,l,b,l,u,$,V,SG,1,FUT	n,g,i,y,o,l,l,b,l,u
d,l,a,d,j,$,COPY	d,l,a,d,j
d,l,a,d,j,$,V,SG,1,FUT+IMMED	n,g,i,z,o,d,l,a,d,j
d,l,a,l,a,$,V,SG,1,PRS	n,g,i,d,l,a,l,a
c,u,l,m,$,COPY	c,u,l,m
c,u,l,m,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,u,l,m
c,i,l,k,$,COPY	c,i,l,k
c,i,l,k,$,V,SG,1,PST+RMT	n,g,a,c,i,l,k
c,u,j,e,$,COPY	c,u,j,e
c,u,j,e,$,V,SG,1,PRS	n,g,i,c,u,j,e
c,l,l,b,$,COPY	c,l,l,b
c,l,l,b,$,V,SG,1,FUT	n,g,i,y,o,c,l,l,b
u,u,l,a,$,V,SG,1,PST+RCT	n,g,i,u,u,l,e
t,h,a,l,z,$,COPY	t,h,a,l,z
t,h,a,l,z,$,V,SG,1,PRS	n,g,i,y,a,t,h,a,l,z
m,h,t,d,t,$,COPY	m,h,t,d,t
m,h,t,d,t,$,V,SG,1,PST+RMT	n,g,a,m,h,t,d,t
p,o,m,c,s,$,COPY	p,o,m,c,s
p,o,m,c,s,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,o,m,c,s
k,q,a,l,a,$,COPY	k,q,a,l,a
k,q,a,l,a,$,V,SG,1,PST+RCT	n,g,i,k,q,a,l,e
z,h,y,l,a,$,COPY	z,h,y,l,a
z,h,y,l,a,$,V,SG,1,FUT	n,g,i,y,o,z,h,y,l,a
f,u,n,a,$,V,SG,1,PST+RCT	n,g,i,f,u,n,e
f,u,c,n,$,COPY	f,u,c,n
f,u,c,n,$,V,SG,1,PRS	n,g,i,f,u,c,n
f,b,e,a,$,COPY	f,b,e,a
f,b,e,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,b,e,a
k,u,i,a,$,COPY	k,u,i,a
k,u,i,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,i,a
a,u,s,z,$,COPY	a,u,s,z
a,u,s,z,$,V,SG,1,PST+RMT	n,g,a,a,u,s,z
c,a,l,o,a,z,a,$,COPY	c,a,l,o,a,z,a
c,a,l,o,a,z,a,$,V,SG,1,PRS	n,g,i,c,a,l,o,a,z,a
c,a,b,j,c,g,a,$,COPY	c,a,b,j,c,g,a
c,a,b,j,c,g,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,a,b,j,c,g,a
c,o,b,a,u,g,a,$,COPY	c,o,b,a,u,g,a
c,o,b,a,u,g,a,$,V,SG,1,PST+RCT	n,g,i,c,o,b,a,u,g,e
c,a,b,y,n,g,a,$,COPY	c,a,b,y,n,g,a
c,a,b,y,n,g,a,$,V,SG,1,PST+RMT	n,g,a,c,a,b,y,n,g,a
c,q,z,a,l,y,a,$,COPY	c,q,z,a,l,y,a
c,q,z,a,l,y,a,$,V,SG,1,FUT	n,g,i,y,o,c,q,z,a,l,y,a
h,f,b,l,a, ,p,e,a,n,s,i,$,COPY	h,f,b,l,a, ,p,e,a,n,s,i
h,f,b,l,a, ,p,e,a,n,s,i,$,V,SG,1,PST+RCT	n,g,i,h,f,b,l,e, ,p,e,a,n,s,i
h,l,p,n,g, ,p,v,a,n,s,i,$,COPY	h,l,p,n,g, ,p,v,a,n,s,i
h,l,p,n,g, ,p,v,a,n,s,i,$,V,SG,1,FUT	n,g,i,y,o,h,l,p,n,g, ,p,v,a,n,s,i
d,l,a,g,i, ,p,h,f,v,c,i,$,COPY	d,l,a,g,i, ,p,h,f,v,c,i
d,l,a,g,i, ,p,h,f,v,c,i,$,V,SG,1,PRS	n,g,i,d,l,a,g,i, ,p,h,f,v,c,i
s,t,a,c,a, ,p,m,a,j,t,i,$,COPY	s,t,a,c,a, ,p,m,a,j,t,i
s,t,a,c,a, ,p,m,a,j,t,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,t,a,c,a, ,p,m,a,j,t,i
z,l,z,l,b, ,p,h,n,l,s,i,$,COPY	z,l,z,l,b, ,p,h,n,l,s,i
z,l,z,l,b, ,p,h,n,l,s,i,$,V,SG,1,PST+RMT	n,g,a,z,l,z,l,b, ,p,h,n,l,s,i
c,h,h,l,k,$,COPY	c,h,h,l,k
c,h,h,l,k,$,V,SG,1,FUT	n,g,i,y,o,c,h,h,l,k
