k,u,n,d,a,$,V,PL,2,FUT	m,u,c,h,a,k,u,n,d,a
d,z,o,k,o,r,o,r,a,$,V,PL,1,PRS	t,i,n,o,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,PL,3,PST	v,a,k,a,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,PL,2,PRS	m,u,n,o,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,SG,1,PRS	n,d,i,n,o,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,d,z,o,k,o,r,o,r,a
s,e,k,e,r,e,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,SG,3,PST	a,k,a,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,PL,1,FUT	t,i,c,h,a,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,PL,1,HOD	t,a,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,SG,2,HOD	w,a,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,SG,3,FUT	a,c,h,a,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,PL,2,FUT	m,u,c,h,a,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,SG,3,HOD	a,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,SG,2,PST	w,a,k,a,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,PL,3,HOD	v,a,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,PL,1,PST	t,a,k,a,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,SG,1,HOD	n,d,a,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,PL,2,HOD	m,a,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,PL,3,PST	v,a,k,a,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,SG,1,PST	n,d,a,k,a,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,PL,2,PST	m,a,k,a,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,PL,3,PRS	v,a,n,o,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,SG,1,PRS	n,d,i,n,o,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,PL,2,PRS	m,u,n,o,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,SG,2,PRS	u,n,o,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,SG,2,FUT	u,c,h,a,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,PL,3,FUT	v,a,c,h,a,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,PL,1,PRS	t,i,n,o,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,s,e,k,e,r,e,r,a
s,e,k,e,r,e,r,a,$,V,SG,3,PRS	a,n,o,s,e,k,e,r,e,r,a
f,a,m,b,a,$,V,PL,3,HOD	v,a,f,a,m,b,a
f,a,m,b,a,$,V,PL,1,FUT	t,i,c,h,a,f,a,m,b,a
f,a,m,b,a,$,V,SG,3,PST	a,k,a,f,a,m,b,a
f,a,m,b,a,$,V,PL,2,PST	m,a,k,a,f,a,m,b,a
f,a,m,b,a,$,V,SG,3,HOD	a,f,a,m,b,a
f,a,m,b,a,$,V,SG,2,PRS	u,n,o,f,a,m,b,a
f,a,m,b,a,$,V,SG,1,HOD	n,d,a,f,a,m,b,a
f,a,m,b,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,f,a,m,b,a
f,a,m,b,a,$,V,PL,3,PRS	v,a,n,o,f,a,m,b,a
f,a,m,b,a,$,V,SG,2,PST	w,a,k,a,f,a,m,b,a
f,a,m,b,a,$,V,SG,1,FUT	n,d,i,c,h,a,f,a,m,b,a
f,a,m,b,a,$,V,PL,2,PRS	m,u,n,o,f,a,m,b,a
f,a,m,b,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,f,a,m,b,a
f,a,m,b,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,f,a,m,b,a
f,a,m,b,a,$,V,PL,1,PRS	t,i,n,o,f,a,m,b,a
f,a,m,b,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,f,a,m,b,a
f,a,m,b,a,$,V,SG,3,FUT	a,c,h,a,f,a,m,b,a
f,a,m,b,a,$,V,PL,1,HOD	t,a,f,a,m,b,a
f,a,m,b,a,$,V,SG,2,FUT	u,c,h,a,f,a,m,b,a
f,a,m,b,a,$,V,PL,2,HOD	m,a,f,a,m,b,a
f,a,m,b,a,$,V,PL,3,PST	v,a,k,a,f,a,m,b,a
f,a,m,b,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,f,a,m,b,a
f,a,m,b,a,$,V,SG,2,HOD	w,a,f,a,m,b,a
f,a,m,b,a,$,V,PL,1,PST	t,a,k,a,f,a,m,b,a
f,a,m,b,a,$,V,PL,3,FUT	v,a,c,h,a,f,a,m,b,a
f,a,m,b,a,$,V,PL,2,FUT	m,u,c,h,a,f,a,m,b,a
f,a,m,b,a,$,V,SG,1,PST	n,d,a,k,a,f,a,m,b,a
f,a,m,b,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,f,a,m,b,a
f,a,m,b,a,$,V,SG,1,PRS	n,d,i,n,o,f,a,m,b,a
f,a,m,b,a,$,V,SG,3,PRS	a,n,o,f,a,m,b,a
i,d,a,$,V,SG,2,HOD	w,a,d,a
i,d,a,$,V,PL,2,PST	m,a,k,a,d,a
i,d,a,$,V,PL,3,FUT	v,a,c,h,a,d,a
i,d,a,$,V,PL,2,PRS	m,u,n,o,d,a
i,d,a,$,V,PL,3,PST	v,a,k,a,d,a
i,d,a,$,V,PL,1,PRS	t,i,n,o,d,a
i,d,a,$,V,SG,1,FUT	n,d,i,c,h,a,d,a
i,d,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,d,a
i,d,a,$,V,SG,2,PST	w,a,k,a,d,a
i,d,a,$,V,PL,1,FUT	t,i,c,h,a,d,a
i,d,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,d,a
i,d,a,$,V,PL,1,PST	t,a,k,a,d,a
i,d,a,$,V,SG,1,HOD	n,d,a,d,a
i,d,a,$,V,SG,3,PRS	a,n,o,d,a
i,d,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,d,a
i,d,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,d,a
i,d,a,$,V,SG,1,PRS	n,d,i,n,o,d,a
i,d,a,$,V,SG,3,PST	a,k,a,d,a
i,d,a,$,V,PL,3,HOD	v,a,d,a
i,d,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,d,a
i,d,a,$,V,SG,3,FUT	a,c,h,a,d,a
i,d,a,$,V,PL,2,HOD	m,a,d,a
i,d,a,$,V,SG,2,PRS	u,n,o,d,a
i,d,a,$,V,SG,3,HOD	a,d,a
i,d,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,d,a
i,d,a,$,V,SG,1,PST	n,d,a,k,a,d,a
i,d,a,$,V,PL,3,PRS	v,a,n,o,d,a
i,d,a,$,V,SG,2,FUT	u,c,h,a,d,a
i,d,a,$,V,PL,2,FUT	m,u,c,h,a,d,a
i,d,a,$,V,PL,1,HOD	t,a,d,a
b,i,k,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,b,i,k,a
b,i,k,a,$,V,SG,1,HOD	n,d,a,b,i,k,a
b,i,k,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,b,i,k,a
b,i,k,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,b,i,k,a
b,i,k,a,$,V,PL,3,HOD	v,a,b,i,k,a
b,i,k,a,$,V,PL,3,FUT	v,a,c,h,a,b,i,k,a
b,i,k,a,$,V,SG,2,PST	w,a,k,a,b,i,k,a
b,i,k,a,$,V,SG,3,HOD	a,b,i,k,a
b,i,k,a,$,V,PL,2,PRS	m,u,n,o,b,i,k,a
b,i,k,a,$,V,SG,3,PST	a,k,a,b,i,k,a
b,i,k,a,$,V,PL,3,PRS	v,a,n,o,b,i,k,a
b,i,k,a,$,V,PL,1,PST	t,a,k,a,b,i,k,a
b,i,k,a,$,V,SG,1,PRS	n,d,i,n,o,b,i,k,a
b,i,k,a,$,V,SG,1,FUT	n,d,i,c,h,a,b,i,k,a
b,i,k,a,$,V,SG,3,PRS	a,n,o,b,i,k,a
b,i,k,a,$,V,SG,1,PST	n,d,a,k,a,b,i,k,a
b,i,k,a,$,V,PL,1,HOD	t,a,b,i,k,a
b,i,k,a,$,V,PL,3,PST	v,a,k,a,b,i,k,a
b,i,k,a,$,V,PL,1,PRS	t,i,n,o,b,i,k,a
b,i,k,a,$,V,SG,2,HOD	w,a,b,i,k,a
b,i,k,a,$,V,PL,2,HOD	m,a,b,i,k,a
b,i,k,a,$,V,SG,2,FUT	u,c,h,a,b,i,k,a
b,i,k,a,$,V,SG,2,PRS	u,n,o,b,i,k,a
b,i,k,a,$,V,PL,2,FUT	m,u,c,h,a,b,i,k,a
b,i,k,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,b,i,k,a
b,i,k,a,$,V,SG,3,FUT	a,c,h,a,b,i,k,a
b,i,k,a,$,V,PL,2,PST	m,a,k,a,b,i,k,a
b,i,k,a,$,V,PL,1,FUT	t,i,c,h,a,b,i,k,a
b,i,k,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,b,i,k,a
b,i,k,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,b,i,k,a
b,a,t,a,$,V,SG,1,HOD	n,d,a,b,a,t,a
b,a,t,a,$,V,PL,3,PRS	v,a,n,o,b,a,t,a
b,a,t,a,$,V,SG,1,FUT	n,d,i,c,h,a,b,a,t,a
b,a,t,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,b,a,t,a
b,a,t,a,$,V,PL,3,PST	v,a,k,a,b,a,t,a
b,a,t,a,$,V,SG,3,PST	a,k,a,b,a,t,a
b,a,t,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,b,a,t,a
b,a,t,a,$,V,PL,2,HOD	m,a,b,a,t,a
b,a,t,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,b,a,t,a
b,a,t,a,$,V,SG,2,PST	w,a,k,a,b,a,t,a
b,a,t,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,b,a,t,a
b,a,t,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,b,a,t,a
b,a,t,a,$,V,PL,1,PST	t,a,k,a,b,a,t,a
b,a,t,a,$,V,SG,2,HOD	w,a,b,a,t,a
b,a,t,a,$,V,SG,3,FUT	a,c,h,a,b,a,t,a
b,a,t,a,$,V,SG,2,PRS	u,n,o,b,a,t,a
b,a,t,a,$,V,PL,3,HOD	v,a,b,a,t,a
b,a,t,a,$,V,SG,3,HOD	a,b,a,t,a
b,a,t,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,b,a,t,a
b,a,t,a,$,V,SG,1,PRS	n,d,i,n,o,b,a,t,a
b,a,t,a,$,V,PL,2,PST	m,a,k,a,b,a,t,a
b,a,t,a,$,V,PL,1,PRS	t,i,n,o,b,a,t,a
b,a,t,a,$,V,PL,3,FUT	v,a,c,h,a,b,a,t,a
b,a,t,a,$,V,PL,1,FUT	t,i,c,h,a,b,a,t,a
b,a,t,a,$,V,SG,2,FUT	u,c,h,a,b,a,t,a
b,a,t,a,$,V,PL,2,FUT	m,u,c,h,a,b,a,t,a
b,a,t,a,$,V,PL,2,PRS	m,u,n,o,b,a,t,a
b,a,t,a,$,V,PL,1,HOD	t,a,b,a,t,a
b,a,t,a,$,V,SG,3,PRS	a,n,o,b,a,t,a
b,a,t,a,$,V,SG,1,PST	n,d,a,k,a,b,a,t,a
k,u,v,a,$,V,SG,3,PRS	a,n,o,k,u,v,a
k,u,v,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,k,u,v,a
k,u,v,a,$,V,SG,2,PRS	u,n,o,k,u,v,a
k,u,v,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,k,u,v,a
k,u,v,a,$,V,PL,3,HOD	v,a,k,u,v,a
k,u,v,a,$,V,SG,2,FUT	u,c,h,a,k,u,v,a
k,u,v,a,$,V,PL,3,PST	v,a,k,a,k,u,v,a
k,u,v,a,$,V,SG,1,HOD	n,d,a,k,u,v,a
k,u,v,a,$,V,PL,1,HOD	t,a,k,u,v,a
k,u,v,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,k,u,v,a
k,u,v,a,$,V,PL,2,PST	m,a,k,a,k,u,v,a
k,u,v,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,k,u,v,a
k,u,v,a,$,V,PL,3,FUT	v,a,c,h,a,k,u,v,a
k,u,v,a,$,V,PL,1,FUT	t,i,c,h,a,k,u,v,a
k,u,v,a,$,V,SG,3,HOD	a,k,u,v,a
k,u,v,a,$,V,PL,1,PST	t,a,k,a,k,u,v,a
k,u,v,a,$,V,SG,2,HOD	w,a,k,u,v,a
k,u,v,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,k,u,v,a
k,u,v,a,$,V,SG,1,FUT	n,d,i,c,h,a,k,u,v,a
k,u,v,a,$,V,SG,3,PST	a,k,a,k,u,v,a
k,u,v,a,$,V,PL,2,FUT	m,u,c,h,a,k,u,v,a
k,u,v,a,$,V,PL,3,PRS	v,a,n,o,k,u,v,a
k,u,v,a,$,V,SG,2,PST	w,a,k,a,k,u,v,a
k,u,v,a,$,V,SG,3,FUT	a,c,h,a,k,u,v,a
k,u,v,a,$,V,PL,2,HOD	m,a,k,u,v,a
k,u,v,a,$,V,SG,1,PRS	n,d,i,n,o,k,u,v,a
k,u,v,a,$,V,PL,2,PRS	m,u,n,o,k,u,v,a
k,u,v,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,k,u,v,a
k,u,v,a,$,V,PL,1,PRS	t,i,n,o,k,u,v,a
k,u,v,a,$,V,SG,1,PST	n,d,a,k,a,k,u,v,a
