s,e,k,a,$,COPY	s,e,k,a
i,n,z,z,d,$,COPY	i,n,z,z,d
i,n,z,z,d,$,V,PL,1,PST	t,a,k,a,n,z,z,d
i,e,t,f,v,$,COPY	i,e,t,f,v
i,e,t,f,v,$,V,PROG,SG,2,PRS	u,r,i,k,u,e,t,f,v
i,r,y,w,u,$,COPY	i,r,y,w,u
i,r,y,w,u,$,V,PL,3,HOD	v,a,r,y,w,u
i,n,r,w,n,$,COPY	i,n,r,w,n
i,n,r,w,n,$,V,SG,3,PRS	a,n,o,n,r,w,n
t,s,u,o,f,a,$,COPY	t,s,u,o,f,a
t,s,u,o,f,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,s,u,o,f,a
t,g,o,w,v,a,$,COPY	t,g,o,w,v,a
t,g,o,w,v,a,$,V,SG,1,FUT	n,d,i,c,h,a,t,g,o,w,v,a
t,c,v,b,h,a,$,COPY	t,c,v,b,h,a
t,c,v,b,h,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,c,v,b,h,a
t,s,v,m,k,a,$,COPY	t,s,v,m,k,a
t,s,v,m,k,a,$,V,PL,2,FUT	m,u,c,h,a,t,s,v,m,k,a
t,y,t,k,k,a,$,COPY	t,y,t,k,k,a
t,y,t,k,k,a,$,V,SG,3,FUT	a,c,h,a,t,y,t,k,k,a
t,s,u,m,d,a,$,COPY	t,s,u,m,d,a
t,s,u,m,d,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,s,u,m,d,a
t,s,a,o,d,a,$,COPY	t,s,a,o,d,a
t,s,a,o,d,a,$,V,SG,3,PST	a,k,a,t,s,a,o,d,a
t,n,v,f,d,a,$,COPY	t,n,v,f,d,a
t,n,v,f,d,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,n,v,f,d,a
t,s,n,r,f,c,$,COPY	t,s,n,r,f,c
t,s,n,r,f,c,$,V,PL,1,PRS	t,i,n,o,t,s,n,r,f,c
t,s,w,o,d,a,$,COPY	t,s,w,o,d,a
t,s,w,o,d,a,$,V,PL,2,PRS	m,u,n,o,t,s,w,o,d,a
t,s,k,d,m,a,$,COPY	t,s,k,d,m,a
t,s,k,d,m,a,$,V,PL,1,HOD	t,a,t,s,k,d,m,a
t,v,v,r,d,a,$,COPY	t,v,v,r,d,a
t,v,v,r,d,a,$,V,PL,3,PST	v,a,k,a,t,v,v,r,d,a
t,o,v,o,w,a,$,COPY	t,o,v,o,w,a
t,o,v,o,w,a,$,V,SG,2,FUT	u,c,h,a,t,o,v,o,w,a
t,k,h,o,t,a,$,COPY	t,k,h,o,t,a
t,k,h,o,t,a,$,V,PL,1,FUT	t,i,c,h,a,t,k,h,o,t,a
t,s,v,a,d,a,$,COPY	t,s,v,a,d,a
t,s,v,a,d,a,$,V,PL,3,HOD	v,a,t,s,v,a,d,a
t,s,v,u,d,a,$,COPY	t,s,v,u,d,a
t,s,v,u,d,a,$,V,SG,3,HOD	a,t,s,v,u,d,a
t,s,v,o,d,a,$,V,PL,2,HOD	m,a,t,s,v,o,d,a
t,p,s,o,d,a,$,COPY	t,p,s,o,d,a
t,p,s,o,d,a,$,V,PL,3,FUT	v,a,c,h,a,t,p,s,o,d,a
t,s,k,o,d,a,$,COPY	t,s,k,o,d,a
t,s,k,o,d,a,$,V,SG,1,PST	n,d,a,k,a,t,s,k,o,d,a
t,s,e,o,k,a,$,COPY	t,s,e,o,k,a
t,s,e,o,k,a,$,V,SG,2,PST	w,a,k,a,t,s,e,o,k,a
t,s,k,m,d,a,$,COPY	t,s,k,m,d,a
t,s,k,m,d,a,$,V,PL,2,PST	m,a,k,a,t,s,k,m,d,a
t,s,o,o,a,a,$,COPY	t,s,o,o,a,a
t,s,o,o,a,a,$,V,PL,3,PRS	v,a,n,o,t,s,o,o,a,a
t,y,r,n,k,a,$,COPY	t,y,r,n,k,a
t,y,r,n,k,a,$,V,SG,1,HOD	n,d,a,t,y,r,n,k,a
t,z,f,b,u,a,$,COPY	t,z,f,b,u,a
t,z,f,b,u,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,z,f,b,u,a
t,s,g,h,s,a,$,COPY	t,s,g,h,s,a
t,s,g,h,s,a,$,V,SG,2,HOD	w,a,t,s,g,h,s,a
t,m,w,p,d,a,$,COPY	t,m,w,p,d,a
t,m,w,p,d,a,$,V,SG,1,PRS	n,d,i,n,o,t,m,w,p,d,a
t,s,u,o,d,a,$,COPY	t,s,u,o,d,a
t,s,u,o,d,a,$,V,PL,1,PST	t,a,k,a,t,s,u,o,d,a
t,p,s,b,d,a,$,COPY	t,p,s,b,d,a
t,p,s,b,d,a,$,V,SG,3,PRS	a,n,o,t,p,s,b,d,a
t,z,v,o,n,a,$,COPY	t,z,v,o,n,a
t,z,v,o,n,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,z,v,o,n,a
t,s,v,o,d,a,$,V,SG,2,PRS	u,n,o,t,s,v,o,d,a
w,e,p,z,y,r,a,$,COPY	w,e,p,z,y,r,a
w,e,p,z,y,r,a,$,V,PL,1,PRS	t,i,n,o,w,e,p,z,y,r,a
w,e,c,t,e,r,a,$,COPY	w,e,c,t,e,r,a
w,e,c,t,e,r,a,$,V,SG,3,PRS	a,n,o,w,e,c,t,e,r,a
w,k,i,a,n,r,a,$,COPY	w,k,i,a,n,r,a
w,k,i,a,n,r,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,w,k,i,a,n,r,a
w,e,u,z,e,r,a,$,COPY	w,e,u,z,e,r,a
w,e,u,z,e,r,a,$,V,SG,3,FUT	a,c,h,a,w,e,u,z,e,r,a
w,e,h,m,e,r,a,$,COPY	w,e,h,m,e,r,a
w,e,h,m,e,r,a,$,V,PL,3,PRS	v,a,n,o,w,e,h,m,e,r,a
w,e,d,z,e,t,a,$,COPY	w,e,d,z,e,t,a
w,e,d,z,e,t,a,$,V,SG,3,PST	a,k,a,w,e,d,z,e,t,a
w,e,d,t,e,s,a,$,COPY	w,e,d,t,e,s,a
w,e,d,t,e,s,a,$,V,SG,1,PRS	n,d,i,n,o,w,e,d,t,e,s,a
w,e,d,t,z,d,a,$,COPY	w,e,d,t,z,d,a
w,e,d,t,z,d,a,$,V,SG,2,HOD	w,a,w,e,d,t,z,d,a
w,e,d,z,f,r,a,$,COPY	w,e,d,z,f,r,a
w,e,d,z,f,r,a,$,V,SG,1,HOD	n,d,a,w,e,d,z,f,r,a
w,z,e,z,v,s,a,$,COPY	w,z,e,z,v,s,a
w,z,e,z,v,s,a,$,V,SG,1,FUT	n,d,i,c,h,a,w,z,e,z,v,s,a
w,e,d,z,e,v,a,$,COPY	w,e,d,z,e,v,a
w,e,d,z,e,v,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,w,e,d,z,e,v,a
w,a,d,z,e,t,a,$,COPY	w,a,d,z,e,t,a
w,a,d,z,e,t,a,$,V,PL,2,PST	m,a,k,a,w,a,d,z,e,t,a
w,z,d,v,e,v,a,$,COPY	w,z,d,v,e,v,a
w,z,d,v,e,v,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,w,z,d,v,e,v,a
w,n,h,h,e,s,a,$,COPY	w,n,h,h,e,s,a
w,n,h,h,e,s,a,$,V,PL,3,FUT	v,a,c,h,a,w,n,h,h,e,s,a
w,e,d,g,e,r,a,$,COPY	w,e,d,g,e,r,a
w,e,d,g,e,r,a,$,V,SG,2,PRS	u,n,o,w,e,d,g,e,r,a
w,w,c,u,e,s,a,$,COPY	w,w,c,u,e,s,a
w,w,c,u,e,s,a,$,V,SG,3,HOD	a,w,w,c,u,e,s,a
w,e,d,z,s,s,a,$,COPY	w,e,d,z,s,s,a
w,e,d,z,s,s,a,$,V,SG,2,PST	w,a,k,a,w,e,d,z,s,s,a
w,i,h,z,u,r,a,$,COPY	w,i,h,z,u,r,a
w,i,h,z,u,r,a,$,V,PL,2,HOD	m,a,w,i,h,z,u,r,a
w,k,n,z,e,y,a,$,COPY	w,k,n,z,e,y,a
w,k,n,z,e,y,a,$,V,SG,2,FUT	u,c,h,a,w,k,n,z,e,y,a
w,f,d,z,e,r,a,$,COPY	w,f,d,z,e,r,a
w,f,d,z,e,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,w,f,d,z,e,r,a
w,n,v,z,u,r,a,$,COPY	w,n,v,z,u,r,a
w,n,v,z,u,r,a,$,V,PL,1,FUT	t,i,c,h,a,w,n,v,z,u,r,a
w,i,b,z,e,r,a,$,COPY	w,i,b,z,e,r,a
w,i,b,z,e,r,a,$,V,PL,3,PST	v,a,k,a,w,i,b,z,e,r,a
w,e,z,z,e,r,a,$,COPY	w,e,z,z,e,r,a
w,e,z,z,e,r,a,$,V,PL,1,PST	t,a,k,a,w,e,z,z,e,r,a
w,e,d,z,r,r,a,$,COPY	w,e,d,z,r,r,a
w,e,d,z,r,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,w,e,d,z,r,r,a
w,e,d,z,g,r,a,$,COPY	w,e,d,z,g,r,a
w,e,d,z,g,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,w,e,d,z,g,r,a
w,b,d,f,e,r,a,$,COPY	w,b,d,f,e,r,a
w,b,d,f,e,r,a,$,V,PL,2,PRS	m,u,n,o,w,b,d,f,e,r,a
w,e,o,z,e,r,a,$,COPY	w,e,o,z,e,r,a
w,e,o,z,e,r,a,$,V,PL,2,FUT	m,u,c,h,a,w,e,o,z,e,r,a
w,u,d,z,e,r,a,$,COPY	w,u,d,z,e,r,a
w,u,d,z,e,r,a,$,V,PL,1,HOD	t,a,w,u,d,z,e,r,a
w,u,d,f,a,r,a,$,COPY	w,u,d,f,a,r,a
w,u,d,f,a,r,a,$,V,PL,3,HOD	v,a,w,u,d,f,a,r,a
w,n,d,z,r,n,a,$,COPY	w,n,d,z,r,n,a
w,n,d,z,r,n,a,$,V,SG,1,PST	n,d,a,k,a,w,n,d,z,r,n,a
b,o,v,a,$,COPY	b,o,v,a
b,o,v,a,$,V,SG,1,PRS	n,d,i,n,o,b,o,v,a
i,o,r,a,$,COPY	i,o,r,a
i,o,r,a,$,V,PL,3,HOD	v,a,i,o,r,a
t,t,r,v,$,COPY	t,t,r,v
t,t,r,v,$,V,SG,2,PRS	u,n,o,t,t,r,v
g,o,r,a,$,COPY	g,o,r,a
g,o,r,a,$,V,SG,2,PST	w,a,k,a,g,o,r,a
v,o,r,a,$,COPY	v,o,r,a
v,o,r,a,$,V,SG,1,PST	n,d,a,k,a,v,o,r,a
p,o,c,i,$,COPY	p,o,c,i
p,o,c,i,$,V,PROG,SG,3,PRS	a,r,i,k,u,p,o,c,i
f,o,f,p,$,COPY	f,o,f,p
f,o,f,p,$,V,PL,2,HOD	m,a,f,o,f,p
t,o,r,s,$,COPY	t,o,r,s
t,o,r,s,$,V,SG,3,PST	a,k,a,t,o,r,s
t,o,p,a,$,COPY	t,o,p,a
t,o,p,a,$,V,PL,3,PST	v,a,k,a,t,o,p,a
u,e,r,a,$,COPY	u,e,r,a
u,e,r,a,$,V,SG,3,PRS	a,n,o,u,e,r,a
v,u,i,a,$,COPY	v,u,i,a
v,u,i,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,v,u,i,a
o,o,f,s,$,COPY	o,o,f,s
o,o,f,s,$,V,SG,1,HOD	n,d,a,o,o,f,s
f,z,r,d,$,COPY	f,z,r,d
f,z,r,d,$,V,PL,2,PST	m,a,k,a,f,z,r,d
o,o,r,a,$,COPY	o,o,r,a
o,o,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,o,o,r,a
t,s,r,k,$,COPY	t,s,r,k
t,s,r,k,$,V,PL,1,HOD	t,a,t,s,r,k
t,o,b,a,$,COPY	t,o,b,a
t,o,b,a,$,V,PL,3,FUT	v,a,c,h,a,t,o,b,a
t,k,p,n,$,COPY	t,k,p,n
t,k,p,n,$,V,PL,2,FUT	m,u,c,h,a,t,k,p,n
t,o,i,b,$,COPY	t,o,i,b
t,o,i,b,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,o,i,b
t,o,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,o,r,a
a,o,c,g,$,COPY	a,o,c,g
a,o,c,g,$,V,SG,3,FUT	a,c,h,a,a,o,c,g
t,u,o,a,$,COPY	t,u,o,a
t,u,o,a,$,V,PL,1,FUT	t,i,c,h,a,t,u,o,a
h,o,z,a,$,COPY	h,o,z,a
h,o,z,a,$,V,PL,2,PRS	m,u,n,o,h,o,z,a
z,o,g,a,$,COPY	z,o,g,a
z,o,g,a,$,V,SG,1,FUT	n,d,i,c,h,a,z,o,g,a
d,o,u,a,$,COPY	d,o,u,a
d,o,u,a,$,V,PL,3,PRS	v,a,n,o,d,o,u,a
t,n,m,b,$,COPY	t,n,m,b
t,n,m,b,$,V,SG,2,HOD	w,a,t,n,m,b
t,o,r,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,o,r,a
t,o,r,a,$,V,SG,2,FUT	u,c,h,a,t,o,r,a
t,o,d,f,$,COPY	t,o,d,f
t,o,d,f,$,V,PL,1,PST	t,a,k,a,t,o,d,f
e,z,m,a,$,COPY	e,z,m,a
e,z,m,a,$,V,SG,3,HOD	a,e,z,m,a
t,o,v,a,$,COPY	t,o,v,a
t,o,v,a,$,V,PL,1,PRS	t,i,n,o,t,o,v,a
z,n,v,o,$,COPY	z,n,v,o
z,n,v,o,$,V,SG,1,FUT	n,d,i,c,h,a,z,n,v,o
c,n,v,d,$,COPY	c,n,v,d
c,n,v,d,$,V,SG,3,PST	a,k,a,c,n,v,d
y,o,y,a,$,COPY	y,o,y,a
y,o,y,a,$,V,SG,1,PST	n,d,a,k,a,y,o,y,a
z,i,v,c,$,COPY	z,i,v,c
z,i,v,c,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,z,i,v,c
z,i,v,a,$,V,PL,2,PRS	m,u,n,o,z,i,v,a
d,i,v,a,$,COPY	d,i,v,a
d,i,v,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,d,i,v,a
z,g,v,a,$,COPY	z,g,v,a
z,g,v,a,$,V,PL,3,PRS	v,a,n,o,z,g,v,a
z,n,v,a,$,COPY	z,n,v,a
z,n,v,a,$,V,SG,3,FUT	a,c,h,a,z,n,v,a
d,i,n,i,$,COPY	d,i,n,i
d,i,n,i,$,V,PL,1,FUT	t,i,c,h,a,d,i,n,i
z,f,v,a,$,COPY	z,f,v,a
z,f,v,a,$,V,PL,1,HOD	t,a,z,f,v,a
z,i,z,a,$,COPY	z,i,z,a
z,i,z,a,$,V,PL,3,FUT	v,a,c,h,a,z,i,z,a
m,i,c,a,$,COPY	m,i,c,a
m,i,c,a,$,V,SG,3,PRS	a,n,o,m,i,c,a
u,i,y,m,$,COPY	u,i,y,m
u,i,y,m,$,V,SG,2,PRS	u,n,o,u,i,y,m
d,u,v,a,$,COPY	d,u,v,a
d,u,v,a,$,V,SG,1,HOD	n,d,a,d,u,v,a
v,p,m,k,$,COPY	v,p,m,k
v,p,m,k,$,V,SG,2,HOD	w,a,v,p,m,k
z,o,o,w,$,COPY	z,o,o,w
z,o,o,w,$,V,PL,1,PRS	t,i,n,o,z,o,o,w
z,i,y,a,$,COPY	z,i,y,a
z,i,y,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,z,i,y,a
k,t,v,n,$,COPY	k,t,v,n
k,t,v,n,$,V,PL,2,HOD	m,a,k,t,v,n
z,c,v,a,$,COPY	z,c,v,a
z,c,v,a,$,V,PL,3,HOD	v,a,z,c,v,a
z,g,y,a,$,COPY	z,g,y,a
z,g,y,a,$,V,PL,3,PST	v,a,k,a,z,g,y,a
z,z,e,z,$,COPY	z,z,e,z
z,z,e,z,$,V,SG,1,PRS	n,d,i,n,o,z,z,e,z
h,f,t,a,$,COPY	h,f,t,a
h,f,t,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,h,f,t,a
z,v,v,a,$,COPY	z,v,v,a
z,v,v,a,$,V,PL,2,FUT	m,u,c,h,a,z,v,v,a
m,v,v,u,$,COPY	m,v,v,u
m,v,v,u,$,V,SG,2,PST	w,a,k,a,m,v,v,u
z,i,v,a,$,V,SG,3,HOD	a,z,i,v,a
z,h,v,a,$,COPY	z,h,v,a
z,h,v,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,z,h,v,a
e,u,v,r,$,COPY	e,u,v,r
e,u,v,r,$,V,PL,1,PST	t,a,k,a,e,u,v,r
b,i,v,w,$,COPY	b,i,v,w
b,i,v,w,$,V,SG,2,FUT	u,c,h,a,b,i,v,w
z,y,p,v,$,COPY	z,y,p,v
z,y,p,v,$,V,PROG,SG,3,PRS	a,r,i,k,u,z,y,p,v
o,i,i,a,$,COPY	o,i,i,a
o,i,i,a,$,V,PL,2,PST	m,a,k,a,o,i,i,a
i,z,a,k,v,n,g,e,$,COPY	i,z,a,k,v,n,g,e
i,z,a,k,v,n,g,e,$,V,PL,2,FUT	m,u,c,h,a,i,z,a,k,v,n,g,e
i,t,w,k,p,n,m,e,$,COPY	i,t,w,k,p,n,m,e
i,t,w,k,p,n,m,e,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,i,t,w,k,p,n,m,e
i,t,a,o,d,f,g,e,$,COPY	i,t,a,o,d,f,g,e
i,t,a,o,d,f,g,e,$,V,PL,1,PST	t,a,k,a,i,t,a,o,d,f,g,e
i,t,n,k,u,n,w,e,$,COPY	i,t,n,k,u,n,w,e
i,t,n,k,u,n,w,e,$,V,SG,3,HOD	a,i,t,n,k,u,n,w,e
i,a,a,k,p,n,m,e,$,COPY	i,a,a,k,p,n,m,e
i,a,a,k,p,n,m,e,$,V,PL,3,PST	v,a,k,a,i,a,a,k,p,n,m,e
i,t,a,k,u,n,h,e,$,COPY	i,t,a,k,u,n,h,e
i,t,a,k,u,n,h,e,$,V,SG,2,HOD	w,a,i,t,a,k,u,n,h,e
i,a,a,f,u,n,g,e,$,COPY	i,a,a,f,u,n,g,e
i,a,a,f,u,n,g,e,$,V,SG,1,PST	n,d,a,k,a,i,a,a,f,u,n,g,e
i,t,g,k,u,m,f,e,$,COPY	i,t,g,k,u,m,f,e
i,t,g,k,u,m,f,e,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,i,t,g,k,u,m,f,e
i,g,h,d,u,a,g,e,$,COPY	i,g,h,d,u,a,g,e
i,g,h,d,u,a,g,e,$,V,SG,1,PRS	n,d,i,n,o,i,g,h,d,u,a,g,e
i,t,a,a,u,n,v,e,$,COPY	i,t,a,a,u,n,v,e
i,t,a,a,u,n,v,e,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,i,t,a,a,u,n,v,e
i,g,a,k,u,n,g,e,$,COPY	i,g,a,k,u,n,g,e
i,g,a,k,u,n,g,e,$,V,PROG,SG,3,PRS	a,r,i,k,u,i,g,a,k,u,n,g,e
i,t,i,k,u,z,b,e,$,COPY	i,t,i,k,u,z,b,e
i,t,i,k,u,z,b,e,$,V,PL,3,FUT	v,a,c,h,a,i,t,i,k,u,z,b,e
i,u,a,m,u,n,g,e,$,COPY	i,u,a,m,u,n,g,e
i,u,a,m,u,n,g,e,$,V,SG,2,PST	w,a,k,a,i,u,a,m,u,n,g,e
i,c,a,k,u,n,o,e,$,COPY	i,c,a,k,u,n,o,e
i,c,a,k,u,n,o,e,$,V,PL,2,HOD	m,a,i,c,a,k,u,n,o,e
i,b,u,k,h,n,f,e,$,COPY	i,b,u,k,h,n,f,e
i,b,u,k,h,n,f,e,$,V,SG,3,PRS	a,n,o,i,b,u,k,h,n,f,e
i,t,a,d,u,z,n,e,$,COPY	i,t,a,d,u,z,n,e
i,t,a,d,u,z,n,e,$,V,SG,2,PRS	u,n,o,i,t,a,d,u,z,n,e
i,t,a,k,u,p,g,e,$,COPY	i,t,a,k,u,p,g,e
i,t,a,k,u,p,g,e,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,i,t,a,k,u,p,g,e
i,t,k,b,u,r,g,e,$,COPY	i,t,k,b,u,r,g,e
i,t,k,b,u,r,g,e,$,V,SG,2,FUT	u,c,h,a,i,t,k,b,u,r,g,e
i,o,d,k,b,s,g,e,$,COPY	i,o,d,k,b,s,g,e
i,o,d,k,b,s,g,e,$,V,SG,3,PST	a,k,a,i,o,d,k,b,s,g,e
i,t,a,z,d,n,g,e,$,COPY	i,t,a,z,d,n,g,e
i,t,a,z,d,n,g,e,$,V,SG,1,FUT	n,d,i,c,h,a,i,t,a,z,d,n,g,e
i,t,a,k,u,n,f,e,$,COPY	i,t,a,k,u,n,f,e
i,t,a,k,u,n,f,e,$,V,PL,2,PST	m,a,k,a,i,t,a,k,u,n,f,e
i,b,p,k,a,u,f,e,$,COPY	i,b,p,k,a,u,f,e
i,b,p,k,a,u,f,e,$,V,PL,1,PRS	t,i,n,o,i,b,p,k,a,u,f,e
i,t,a,h,u,h,r,e,$,COPY	i,t,a,h,u,h,r,e
i,t,a,h,u,h,r,e,$,V,PROG,SG,2,PRS	u,r,i,k,u,i,t,a,h,u,h,r,e
i,g,y,k,u,f,o,e,$,COPY	i,g,y,k,u,f,o,e
i,g,y,k,u,f,o,e,$,V,SG,1,HOD	n,d,a,i,g,y,k,u,f,o,e
i,i,a,k,w,z,e,e,$,COPY	i,i,a,k,w,z,e,e
i,i,a,k,w,z,e,e,$,V,SG,3,FUT	a,c,h,a,i,i,a,k,w,z,e,e
i,t,v,k,c,g,m,e,$,COPY	i,t,v,k,c,g,m,e
i,t,v,k,c,g,m,e,$,V,PL,3,HOD	v,a,i,t,v,k,c,g,m,e
i,t,a,v,y,n,g,e,$,COPY	i,t,a,v,y,n,g,e
i,t,a,v,y,n,g,e,$,V,PL,1,FUT	t,i,c,h,a,i,t,a,v,y,n,g,e
i,t,w,a,u,n,g,e,$,COPY	i,t,w,a,u,n,g,e
i,t,w,a,u,n,g,e,$,V,PL,2,PRS	m,u,n,o,i,t,w,a,u,n,g,e
i,g,k,k,p,e,g,e,$,COPY	i,g,k,k,p,e,g,e
i,g,k,k,p,e,g,e,$,V,PL,3,PRS	v,a,n,o,i,g,k,k,p,e,g,e
i,d,a,k,u,w,g,e,$,COPY	i,d,a,k,u,w,g,e
i,d,a,k,u,w,g,e,$,V,PL,1,HOD	t,a,i,d,a,k,u,w,g,e
d,a,i,w,d,a,$,COPY	d,a,i,w,d,a
d,a,i,w,d,a,$,V,SG,2,FUT	u,c,h,a,d,a,i,w,d,a
d,a,i,e,m,a,$,COPY	d,a,i,e,m,a
d,a,i,e,m,a,$,V,SG,3,PST	a,k,a,d,a,i,e,m,a
d,a,p,d,t,a,$,COPY	d,a,p,d,t,a
d,a,p,d,t,a,$,V,PL,3,FUT	v,a,c,h,a,d,a,p,d,t,a
d,r,h,d,z,a,$,COPY	d,r,h,d,z,a
d,r,h,d,z,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,d,r,h,d,z,a
d,v,f,b,z,a,$,COPY	d,v,f,b,z,a
d,v,f,b,z,a,$,V,PL,2,PRS	m,u,n,o,d,v,f,b,z,a
d,a,v,d,z,a,$,COPY	d,a,v,d,z,a
d,a,v,d,z,a,$,V,PL,3,PRS	v,a,n,o,d,a,v,d,z,a
d,b,i,d,n,a,$,COPY	d,b,i,d,n,a
d,b,i,d,n,a,$,V,SG,1,PRS	n,d,i,n,o,d,b,i,d,n,a
d,a,i,d,z,a,$,V,PL,2,HOD	m,a,d,a,i,d,z,a
d,d,a,o,z,v,$,COPY	d,d,a,o,z,v
d,d,a,o,z,v,$,V,SG,1,PST	n,d,a,k,a,d,d,a,o,z,v
d,o,i,d,m,a,$,COPY	d,o,i,d,m,a
d,o,i,d,m,a,$,V,SG,2,PST	w,a,k,a,d,o,i,d,m,a
d,a,f,m,k,a,$,COPY	d,a,f,m,k,a
d,a,f,m,k,a,$,V,SG,3,HOD	a,d,a,f,m,k,a
d,a,i,r,z,a,$,COPY	d,a,i,r,z,a
d,a,i,r,z,a,$,V,SG,1,HOD	n,d,a,d,a,i,r,z,a
d,a,i,m,z,a,$,COPY	d,a,i,m,z,a
d,a,i,m,z,a,$,V,PL,2,FUT	m,u,c,h,a,d,a,i,m,z,a
d,u,m,p,g,a,$,COPY	d,u,m,p,g,a
d,u,m,p,g,a,$,V,PL,3,HOD	v,a,d,u,m,p,g,a
d,a,u,d,a,a,$,COPY	d,a,u,d,a,a
d,a,u,d,a,a,$,V,SG,3,PRS	a,n,o,d,a,u,d,a,a
d,a,c,g,z,a,$,COPY	d,a,c,g,z,a
d,a,c,g,z,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,d,a,c,g,z,a
d,o,d,o,z,a,$,COPY	d,o,d,o,z,a
d,o,d,o,z,a,$,V,SG,1,FUT	n,d,i,c,h,a,d,o,d,o,z,a
d,a,i,v,c,a,$,COPY	d,a,i,v,c,a
d,a,i,v,c,a,$,V,PL,3,PST	v,a,k,a,d,a,i,v,c,a
d,i,n,d,r,a,$,COPY	d,i,n,d,r,a
d,i,n,d,r,a,$,V,SG,3,FUT	a,c,h,a,d,i,n,d,r,a
d,a,i,d,a,a,$,COPY	d,a,i,d,a,a
d,a,i,d,a,a,$,V,SG,2,HOD	w,a,d,a,i,d,a,a
d,a,i,d,n,a,$,COPY	d,a,i,d,n,a
d,a,i,d,n,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,d,a,i,d,n,a
d,g,p,a,b,a,$,COPY	d,g,p,a,b,a
d,g,p,a,b,a,$,V,PL,1,HOD	t,a,d,g,p,a,b,a
d,a,i,d,z,a,$,V,PL,2,PST	m,a,k,a,d,a,i,d,z,a
d,g,m,d,z,a,$,COPY	d,g,m,d,z,a
d,g,m,d,z,a,$,V,SG,2,PRS	u,n,o,d,g,m,d,z,a
d,a,s,d,h,a,$,COPY	d,a,s,d,h,a
d,a,s,d,h,a,$,V,PL,1,PST	t,a,k,a,d,a,s,d,h,a
d,f,v,d,z,a,$,COPY	d,f,v,d,z,a
d,f,v,d,z,a,$,V,PL,1,FUT	t,i,c,h,a,d,f,v,d,z,a
d,y,i,w,z,a,$,COPY	d,y,i,w,z,a
d,y,i,w,z,a,$,V,PL,1,PRS	t,i,n,o,d,y,i,w,z,a
d,w,i,b,z,a,$,COPY	d,w,i,b,z,a
d,w,i,b,z,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,d,w,i,b,z,a
d,a,m,r,z,a,$,COPY	d,a,m,r,z,a
d,a,m,r,z,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,d,a,m,r,z,a
d,p,i,d,v,a,$,COPY	d,p,i,d,v,a
d,p,i,d,v,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,d,p,i,d,v,a
s,y,d,o,o,a,$,COPY	s,y,d,o,o,a
s,y,d,o,o,a,$,V,PL,1,PST	t,a,k,a,s,y,d,o,o,a
s,k,m,g,p,a,$,COPY	s,k,m,g,p,a
s,k,m,g,p,a,$,V,SG,1,FUT	n,d,i,c,h,a,s,k,m,g,p,a
s,y,u,u,h,a,$,COPY	s,y,u,u,h,a
s,y,u,u,h,a,$,V,PL,3,PST	v,a,k,a,s,y,u,u,h,a
s,i,m,u,p,a,$,COPY	s,i,m,u,p,a
s,i,m,u,p,a,$,V,PL,2,PST	m,a,k,a,s,i,m,u,p,a
s,i,b,c,w,a,$,COPY	s,i,b,c,w,a
s,i,b,c,w,a,$,V,SG,3,HOD	a,s,i,b,c,w,a
s,i,m,u,a,a,$,COPY	s,i,m,u,a,a
s,i,m,u,a,a,$,V,PL,3,PRS	v,a,n,o,s,i,m,u,a,a
s,o,a,u,k,a,$,COPY	s,o,a,u,k,a
s,o,a,u,k,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,s,o,a,u,k,a
